1;-
2024-12-18;PBZ;2025-01-07;PBZ/
2;-
2024-09-25;PBZ/2025-01-18;9
3;-
2022-12-20/2023-04-15;2023-05-19;13;1;4
2023-05-24/2023-09-17;2023-10-19;11;5;1;5
2023-10-23;PBZ/2024-02-17;2024-03-21;13;1;3
2024-03-26;Maximus/2024-07-18;16;4;6;4
13;Krycie 3.1 - ruja niepewna;2025-01-13;Sprzedana
2023-05-10;WBP/2023-08-31;2023-09-28;9;4;4
2023-10-08;Maximus;2023-11-23;PBZ/2024-03-17;2024-05-09;14;0;2;4
2024-05-21/2024-10-31
2024-11-04/
14;1 porcja krycie 4.2;2025-02-10;Zgon
2023-08-18;PBZ/2023-12-12;2024-01-03;14;0;4
2024-01-07;Landrace;2024-01-23;Pbz + knur/2024-05-18;2024-06-20;13;2;4
2024-06-24;Maximus/2024-07-30;2024-11-21
2024-11-26;PBZ;2024-12-12;PBZ;2025-01-22;Maximus/
